"","valve","Timestamp","p1","p2","p1_abs","p2_abs","Headloss","Velocity","Flow","kv","Zv","sigma_0","sigma_1","sigma_2","level","scenarios_id"
"10188","RIKO_02",2M 0S,16.8,10.68,24.0704375797459,17.9504375797459,6.12,3.32,2610,12010.6717253498,10.8936710698215,3.6544550234707,2.6544550234707,2.43127287828712,4.63,"0243"
"10189","RIKO_02",3M 0S,16.63,10.68,23.9004375797459,17.9504375797459,5.95,3.32,2610,12181.0443729923,10.5910690956597,3.73029659556986,2.73029659556986,2.49474484680217,4.45,"0243"
"10190","RIKO_02",4M 0S,16.45,10.68,23.7204375797459,17.9504375797459,5.77,3.32,2610,12369.5842095924,10.2706670053709,3.81547049283201,2.81547049283201,2.56566535783065,4.27,"0243"
"10191","RIKO_02",5M 0S,16.28,10.68,23.5504375797459,17.9504375797459,5.6,3.32,2610,12555.9331450457,9.96806503120917,3.90094013279298,2.90094013279298,2.63645044162699,4.09,"0243"
"10192","RIKO_02",6M 0S,16.1,10.68,23.3704375797459,17.9504375797459,5.43,3.32,2610,12750.9661642382,9.66546305704747,3.9899198422911,2.99176146291725,2.71125217354886,3.91,"0243"
"10193","RIKO_02",7M 0S,15.93,10.68,23.2004375797459,17.9504375797459,5.25,3.32,2610,12967.7119911615,9.3450609667586,4.09433614164585,3.09433614164585,2.79522372929866,3.73,"0243"
"10194","RIKO_02",8M 0S,15.76,10.68,23.0304375797459,17.9504375797459,5.08,3.32,2610,13182.9058964257,9.0424589925969,4.19788676055919,3.19788676055919,2.8794501343388,3.55,"0243"
"10195","RIKO_02",9M 0S,15.59,10.68,22.8604375797459,17.9504375797459,4.91,3.32,2610,13409.181278743,8.73985701843519,4.30860789076185,3.30860789076185,2.96891010212908,3.37,"0243"
"10196","RIKO_02",10M 0S,15.42,10.68,22.6904375797459,17.9504375797459,4.74,3.32,2610,13647.5230747542,8.43725504427348,4.42727104296217,3.42727104296217,3.06410706923426,3.19,"0243"
"10197","RIKO_02",11M 0S,15.25,10.68,22.5204375797459,17.9504375797459,4.57,3.32,2610,13899.0433057101,8.13465307011177,4.55476252596076,3.55476252596076,3.16561118122149,3.02,"0243"
"10198","RIKO_02",12M 0S,15.08,10.68,22.3504375797459,17.9504375797459,4.4,3.32,2610,14165.0029682633,7.83205109595007,4.6921056235547,3.6921056235547,3.27407072051302,2.84,"0243"
"10199","RIKO_02",13M 0S,14.91,10.68,22.1804375797459,17.9504375797459,4.23,3.32,2610,14446.8387177323,7.52944912178836,4.84048811906399,3.84048811906399,3.39022596681626,2.67,"0243"
"10200","RIKO_02",14M 0S,14.74,10.68,22.0104375797459,17.9504375797459,4.06,3.32,2610,14746.1956352914,7.22684714762665,5.00129673488687,4.00129673488687,3.51492611646093,2.49,"0243"
"10201","RIKO_02",15M 0S,14.57,10.68,21.8404375797459,17.9504375797459,3.89,3.32,2610,15064.9677895014,6.92424517346495,5.17616060247833,4.17616060247833,3.6491500783135,2.32,"0243"
"10202","RIKO_02",16M 0S,14.4,10.68,21.6704375797459,17.9504375797459,3.72,3.32,2610,15405.3488825651,6.62164319930324,5.36700665151632,4.36700665151631,3.79403222365074,2.15,"0243"
"10203","RIKO_02",17M 0S,14.24,10.68,21.5104375797459,17.9504375797459,3.56,3.32,2610,15747.7317788872,6.33684134126869,5.56327661338222,4.56327661338222,3.94130914793977,1.98,"0243"
"10204","RIKO_02",18M 0S,14.07,10.68,21.3404375797459,17.9504375797459,3.39,3.32,2610,16137.7565305933,6.03423936710698,5.79211349369932,4.79211349369932,4.11085810223399,1.8,"0243"
"10205","RIKO_02",19M 0S,13.91,10.68,21.1804375797459,17.9504375797459,3.23,3.32,2610,16532.6224088972,5.74943750907244,6.02949372868133,5.02949372868133,4.28432144996613,1.63,"0243"
"10206","RIKO_02",20M 0S,13.74,10.68,21.0104375797459,17.9504375797459,3.06,3.32,2610,16985.6548472008,5.44683553491073,6.3089100469414,5.3089100469414,4.48541920120899,1.46,"0243"
"10207","RIKO_01",0S,17.78,10.54,25.0504375797459,17.8104375797459,7.24,3.32,2610,11042.6606210261,12.8872840760633,3.22448408061336,2.22448408061335,2.06430271840967,5,"0244"
"10208","RIKO_01",1M 0S,17.6,10.54,24.8704375797459,17.8104375797459,7.06,3.32,2610,11182.5450791666,12.5668819857744,3.28119897218707,2.28119897218707,2.11305429645546,4.82,"0244"
"10209","RIKO_01",2M 0S,17.42,10.54,24.6904375797459,17.8104375797459,6.88,3.32,2610,11327.883892783,12.2464798954856,3.34088150343615,2.34088150343615,2.16416425312469,4.63,"0244"
"10210","RIKO_01",3M 0S,17.24,10.54,24.5104375797459,17.8104375797459,6.7,3.32,2610,11479.0409917184,11.9260778051967,3.4037708572598,2.4037708572598,2.21780796167106,4.45,"0244"
"10211","RIKO_01",4M 0S,17.06,10.54,24.3304375797459,17.8104375797459,6.53,3.32,2610,11627.5018549748,11.623475831035,3.46481849060347,2.46634988417162,2.27097185064237,4.27,"0244"
"10212","RIKO_01",5M 0S,16.88,10.54,24.1504375797459,17.8104375797459,6.35,3.32,2610,11791.1494901563,11.3030737407461,3.53468736120326,2.53626216435286,2.33011350444903,4.09,"0244"
"10213","RIKO_01",6M 0S,16.71,10.54,23.9804375797459,17.8104375797459,6.17,3.32,2610,11961.9071239556,10.9826716504573,3.61025360512815,2.61025360512815,2.39241791027887,3.91,"0244"
"10214","RIKO_01",7M 0S,16.53,10.54,23.8004375797459,17.8104375797459,6,3.32,2610,12130.1838403216,10.6800696762955,3.68254412394012,2.68421079060678,2.45439959384189,3.73,"0244"
"10215","RIKO_01",8M 0S,16.36,10.54,23.6304375797459,17.8104375797459,5.82,3.32,2610,12316.3356446364,10.3596675860067,3.76722761918225,2.76722761918225,2.52362651041468,3.55,"0244"
"10216","RIKO_01",9M 0S,16.18,10.54,23.4504375797459,17.8104375797459,5.65,3.32,2610,12500.2524576276,10.057065611845,3.84871942365322,2.85048933515764,2.59269134107646,3.37,"0244"
"10217","RIKO_01",10M 0S,16.01,10.54,23.2804375797459,17.8104375797459,5.47,3.32,2610,12704.2591715099,9.73666352155611,3.94428971547362,2.94428971547362,2.67006209256615,3.19,"0244"
"10218","RIKO_01",11M 0S,15.83,10.54,23.1004375797459,17.8104375797459,5.3,3.32,2610,12906.3985886188,9.4340615473944,4.03684240446051,3.03872919691334,2.7474975242698,3.02,"0244"
"10219","RIKO_01",12M 0S,15.66,10.54,22.9304375797459,17.8104375797459,5.13,3.32,2610,13118.5044076959,9.13145957323269,4.1374785075323,3.13942782527109,2.82955857073984,2.84,"0244"
"10220","RIKO_01",13M 0S,15.49,10.54,22.7604375797459,17.8104375797459,4.95,3.32,2610,13354.8928725154,8.81105748294383,4.25358883709913,3.25358883709913,2.92196415313867,2.67,"0244"
"10221","RIKO_01",14M 0S,15.32,10.54,22.5904375797459,17.8104375797459,4.78,3.32,2610,13590.3005037573,8.50845550878212,4.36930224762358,3.36930224762357,3.0149542418395,2.49,"0244"
"10222","RIKO_01",15M 0S,15.15,10.54,22.4204375797459,17.8104375797459,4.61,3.32,2610,13838.6123964279,8.20585353462041,4.49354983593074,3.49354983593073,3.11405761146805,2.32,"0244"
"10223","RIKO_01",16M 0S,14.98,10.54,22.2504375797459,17.8104375797459,4.44,3.32,2610,14101.0522896582,7.9032515604587,4.62731187919835,3.62731187919835,3.21989759301688,2.15,"0244"
"10224","RIKO_01",17M 0S,14.81,10.54,22.0804375797459,17.8104375797459,4.27,3.32,2610,14379.0128092189,7.600649586297,4.77172476431866,3.77172476431866,3.33318524163796,1.98,"0244"
"10225","RIKO_01",18M 0S,14.64,10.54,21.9104375797459,17.8104375797459,4.11,3.32,2610,14656.22410819,7.31584772826245,4.9161228086717,3.91855589869603,3.44734045238882,1.8,"0244"
"10226","RIKO_01",19M 0S,14.47,10.54,21.7404375797459,17.8104375797459,3.94,3.32,2610,14969.0726852346,7.01324575410074,5.0850925745281,4.08763064559408,3.57752141257795,1.63,"0244"
"10227","RIKO_01",20M 0S,14.31,10.54,21.5804375797459,17.8104375797459,3.77,3.32,2610,15302.8504132149,6.71064377993903,5.27195351290204,4.27195351290204,3.71792020066208,1.46,"0244"
"10228","RIKO_02",0S,17.16,10.7,24.4304375797459,17.9704375797459,6.45,3.32,2610,11699.3881772053,11.4810749020177,3.52329685947918,2.52174647188228,2.31970085548472,5,"0244"
"10229","RIKO_02",1M 0S,16.98,10.7,24.2504375797459,17.9704375797459,6.28,3.32,2610,11856.6823857879,11.178472927856,3.59001030949693,2.59001030949693,2.37733912117636,4.82,"0244"
"10230","RIKO_02",2M 0S,16.8,10.7,24.0704375797459,17.9704375797459,6.1,3.32,2610,12030.3452384949,10.8580708375671,3.66643684321979,2.66643684321979,2.44157422604159,4.63,"0244"
"10231","RIKO_02",3M 0S,16.63,10.7,23.9004375797459,17.9704375797459,5.93,3.32,2610,12201.5684724212,10.5554688634054,3.74287769707263,2.74287769707263,2.50551150020987,4.45,"0244"
"10232","RIKO_02",4M 0S,16.45,10.7,23.7204375797459,17.9704375797459,5.75,3.32,2610,12391.0778560536,10.2350667731166,3.82874169454621,2.82874169454621,2.57696377887642,4.27,"0244"
"10233","RIKO_02",5M 0S,16.28,10.7,23.5504375797459,17.9704375797459,5.58,3.32,2610,12578.4146906131,9.93246479895486,3.91492199706822,2.91492199706822,2.64829209697956,4.09,"0244"
"10234","RIKO_02",6M 0S,16.1,10.7,23.3704375797459,17.9704375797459,5.4,3.32,2610,12786.3364573282,9.61206270866599,4.01208606363716,3.01208606363716,2.72825000402008,3.91,"0244"
"10235","RIKO_02",7M 0S,15.93,10.7,23.2004375797459,17.9704375797459,5.23,3.32,2610,12992.4831923258,9.30946073450428,4.10999325882231,3.10999325882231,2.80832924952902,3.73,"0244"
"10236","RIKO_02",8M 0S,15.76,10.7,23.0304375797459,17.9704375797459,5.06,3.32,2610,13208.9333766439,9.00685876034258,4.21447919834796,3.21447919834796,2.89325160082385,3.55,"0244"
"10237","RIKO_02",9M 0S,15.59,10.7,22.8604375797459,17.9704375797459,4.89,3.32,2610,13436.5749360568,8.70425678618087,4.32623000892448,3.32623000892448,2.98347011682629,3.37,"0244"
"10238","RIKO_02",10M 0S,15.42,10.7,22.6904375797459,17.9704375797459,4.71,3.32,2610,13690.917534261,8.383854695892,4.45547022157976,3.45334707932923,3.08533764277636,3.19,"0244"
"10239","RIKO_02",11M 0S,15.25,10.7,22.5204375797459,17.9704375797459,4.54,3.32,2610,13944.8896423229,8.0812527217303,4.58486007569178,3.58265743251998,3.18814606472739,3.02,"0244"
"10240","RIKO_02",12M 0S,15.08,10.7,22.3504375797459,17.9704375797459,4.37,3.32,2610,14213.5410989691,7.77865074756859,4.72431687497499,3.72202854545554,3.29804214338954,2.84,"0244"
"10241","RIKO_02",13M 0S,14.91,10.7,22.1804375797459,17.9704375797459,4.21,3.32,2610,14481.1135908587,7.49384888953404,4.86348331202867,3.86348331202867,3.40862670199536,2.67,"0244"
"10242","RIKO_02",14M 0S,14.74,10.7,22.0104375797459,17.9704375797459,4.04,3.32,2610,14782.6510571422,7.19124691537233,5.02605562961403,4.02605562961403,3.53454857687724,2.49,"0244"
